x,mu,lnx,omega,y
1,1,0.0,0,0.016340456096247083
2,-1,0.6931471805599453,1,0.016256990505917543
3,-1,1.0986122886681098,1,0.016280947255113025
4,0,1.3862943611198906,1,0.016189111747851002
5,-1,1.6094379124341003,1,0.016310404214365314
6,1,1.791759469228055,2,0.016209773539928488
7,-1,1.9459101490553132,1,0.016297895304910954
8,0,2.0794415416798357,1,0.016135836321451172
9,0,2.1972245773362196,1,0.016232423490488007
10,1,2.302585092994046,2,0.016235190873189996
11,-1,2.3978952727983707,1,0.016293279022403257
12,0,2.4849066497880004,2,0.016153115243654134
13,-1,2.5649493574615367,1,0.01628609805238415
14,1,2.6390573296152584,2,0.01622509755596632
15,1,2.70805020110221,2,0.016257501363884343
16,0,2.772588722239781,1,0.01609561752988048
17,-1,2.833213344056216,1,0.016303384724437354
18,0,2.8903717578961645,2,0.01617277749874435
19,-1,2.9444389791664403,1,0.016280059587146203
20,0,2.995732273553991,2,0.016174074936001863
21,1,3.044522437723423,2,0.016246953696181964
22,1,3.091042453358316,2,0.016220441665038107
23,-1,3.1354942159291497,1,0.016263057929724597
24,0,3.1780538303479458,2,0.016109422492401215
25,0,3.2188758248682006,1,0.016285211267605633
26,1,3.258096538021482,2,0.016214078565779066
27,0,3.295836866004329,1,0.016193924763629047
28,0,3.332204510175204,2,0.016165904637491835
29,-1,3.367295829986474,1,0.016296809986130374
30,-1,3.4011973816621555,3,0.01619348054679285
31,-1,3.4339872044851463,1,0.016287559674248806
32,0,3.4657359027997265,1,0.01606604931384581
33,1,3.4965075614664802,2,0.016242155777039496
34,1,3.5263605246161616,2,0.016233432651803145
35,1,3.5553480614894135,2,0.016273663234805714
36,0,3.58351893845611,2,0.016125394677492105
37,-1,3.6109179126442243,1,0.016312594840667678
38,1,3.6375861597263857,2,0.016209206829479145
39,1,3.6635616461296463,2,0.01623550401427297
40,0,3.6888794541139363,2,0.016126645953543423
41,-1,3.713572066704308,1,0.016301066613000605
42,-1,3.7376696182833684,3,0.016184721622788088
43,-1,3.7612001156935624,1,0.016293548814412504
44,0,3.784189633918261,2,0.016161346333644983
45,0,3.8066624897703196,2,0.016214990361719014
46,1,3.828641396489095,2,0.016195856873822974
47,-1,3.8501476017100584,1,0.016300169152698753
48,0,3.871201010907891,2,0.016076736017292623
49,0,3.8918202981106265,1,0.016263387544625148
50,0,3.912023005428146,2,0.016217201166180757
51,1,3.9318256327243257,2,0.01625441696113074
52,0,3.9512437185814275,2,0.01615508885298869
53,-1,3.970291913552122,1,0.01627339300244101
54,0,3.9889840465642745,2,0.016143397906924963
55,1,4.007333185232471,2,0.016268980477223426
56,0,4.02535169073515,2,0.016118836915297093
57,1,4.04305126783455,2,0.016230426334438223
58,1,4.060443010546419,2,0.01622231626463535
59,-1,4.07753744390572,1,0.0163014713665714
60,0,4.0943445622221,3,0.016142384105960264
61,-1,4.110873864173311,1,0.016302846090080134
62,1,4.127134385045092,2,0.016216216216216217
63,0,4.143134726391533,2,0.01620536354510254
64,0,4.1588830833596715,1,0.016044006417602567
65,1,4.174387269895637,2,0.016262196647485613
66,-1,4.189654742026425,3,0.016180168361211326
67,-1,4.204692619390966,1,0.016317016317016316
68,0,4.219507705176107,2,0.016175561508345353
69,1,4.23410650459726,2,0.016216760676873488
70,-1,4.248495242049359,3,0.01620745542949757
71,-1,4.2626798770413155,1,0.01629610914603335
72,0,4.276666119016055,2,0.01608954179783141
73,-1,4.290459441148391,1,0.016303740926856505
74,1,4.30406509320417,2,0.016237084137617805
75,0,4.31748811353631,2,0.016238023197175995
76,0,4.330733340286331,2,0.016152229228897003
77,1,4.343805421853684,2,0.01625827430031355
78,-1,4.356708826689592,3,0.016174010039040714
79,-1,4.3694478524670215,1,0.01631186065800387
80,0,4.382026634673881,2,0.016090584028605484
81,0,4.394449154672439,1,0.016163948621734738
82,1,4.406719247264253,2,0.01622671694663467
83,-1,4.418840607796598,1,0.01628631748265809
84,0,4.430816798843313,3,0.016134772808162296
85,1,4.442651256490317,2,0.016279552053090004
86,1,4.454347296253507,2,0.016219654404749283
87,1,4.465908118654584,2,0.016244968372627948
88,0,4.477336814478207,2,0.016115261472785487
89,-1,4.48863636973214,1,0.016294585578650243
90,0,4.499809670330265,3,0.016160626836434867
91,1,4.51085950651685,2,0.016251846800772816
92,0,4.5217885770490405,2,0.01614162978391044
93,1,4.532599493153256,2,0.016237874314635175
94,1,4.543294782270004,2,0.01622692927040753
95,1,4.553876891600541,2,0.01625677365568987
96,0,4.564348191467836,2,0.01605191256830601
97,-1,4.574710978503383,1,0.0162748643761302
98,0,4.584967478670572,2,0.016199733180865258
99,0,4.59511985013459,2,0.016200951248513673
100,0,4.605170185988092,2,0.01616260560793437
